eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
-0.03123 0.08100  721.1    1265.2   0.07059  -0.05091 1564.6   299.3    0.75080  0.00000 
-0.03183 0.08200  721.1    1265.2   0.07139  -0.05161 1564.6   299.3    0.75186  0.00000 
-0.03243 0.08300  721.1    1265.2   0.07219  -0.05231 1564.6   299.3    0.75291  0.00000 
-0.03303 0.08400  721.1    1265.2   0.07299  -0.05301 1564.6   299.3    0.75397  0.00000 
-0.03364 0.08500  721.1    1265.2   0.07379  -0.05371 1564.6   299.3    0.75503  0.00000 
-0.03424 0.08600  721.1    1265.2   0.07459  -0.05441 1564.6   299.3    0.75609  0.00000 
-0.03484 0.08700  721.1    1265.2   0.07539  -0.05511 1564.6   299.3    0.75714  0.00000 
-0.03545 0.08800  721.1    1265.2   0.07618  -0.05582 1564.6   299.3    0.75820  0.00000 
-0.03605 0.08900  721.1    1265.2   0.07698  -0.05652 1564.6   299.3    0.75926  0.00000 
-0.03665 0.09000  721.1    1265.2   0.07778  -0.05722 1564.6   299.3    0.76032  0.00000 
-0.03726 0.09100  721.1    1265.2   0.07858  -0.05792 1564.6   299.3    0.76139  0.00000 
-0.03786 0.09200  721.1    1265.2   0.07938  -0.05862 1564.6   299.3    0.76245  0.00000 
-0.03846 0.09300  721.1    1265.2   0.08018  -0.05932 1564.6   299.3    0.76351  0.00000 
-0.03906 0.09400  721.1    1265.2   0.08098  -0.06002 1564.6   299.3    0.76457  0.00000 
-0.03967 0.09500  721.1    1265.2   0.08178  -0.06072 1564.6   299.3    0.76564  0.00000 
-0.04027 0.09600  721.1    1265.2   0.08258  -0.06142 1564.6   299.3    0.76670  0.00000 
-0.04087 0.09700  721.1    1265.2   0.08338  -0.06212 1564.6   299.3    0.76777  0.00000 
-0.04148 0.09800  721.1    1265.2   0.08417  -0.06283 1564.6   299.3    0.76883  0.00000 
-0.04208 0.09900  721.1    1265.2   0.08497  -0.06353 1564.6   299.3    0.76990  0.00000 
-0.04268 0.10000  721.1    1265.2   0.08577  -0.06423 1564.6   299.3    0.77097  0.00000 
-0.04329 0.10100  721.1    1265.2   0.08657  -0.06493 1564.6   299.3    0.77204  0.00000 
-0.04389 0.10200  721.1    1265.2   0.08737  -0.06563 1564.6   299.3    0.77310  0.00000 
-0.04449 0.10300  721.1    1265.2   0.08817  -0.06633 1564.6   299.3    0.77417  0.00000 
-0.04509 0.10400  721.1    1265.2   0.08897  -0.06703 1564.6   299.3    0.77524  0.00000 
-0.04570 0.10500  721.1    1265.2   0.08977  -0.06773 1564.6   299.3    0.77631  0.00000 
-0.04630 0.10600  721.1    1265.2   0.09057  -0.06843 1564.6   299.3    0.77738  0.00000 
-0.04690 0.10700  721.1    1265.2   0.09137  -0.06913 1564.6   299.3    0.77846  0.00000 
-0.04751 0.10800  721.1    1265.2   0.09216  -0.06984 1564.6   299.3    0.77953  0.00000 
-0.04811 0.10900  721.1    1265.2   0.09296  -0.07054 1564.6   299.3    0.78060  0.00000 
-0.04871 0.11000  721.1    1265.2   0.09376  -0.07124 1564.6   299.3    0.78168  0.00000 
-0.04931 0.11100  721.1    1265.2   0.09456  -0.07194 1564.6   299.3    0.78275  0.00000 
-0.04992 0.11200  721.1    1265.2   0.09536  -0.07264 1564.6   299.3    0.78382  0.00000 
-0.05052 0.11300  721.1    1265.2   0.09616  -0.07334 1564.6   299.3    0.78490  0.00000 
-0.05112 0.11400  721.1    1265.2   0.09696  -0.07404 1564.6   299.3    0.78598  0.00000 
-0.05173 0.11500  721.1    1265.2   0.09776  -0.07474 1564.6   299.3    0.78705  0.00000 
-0.05233 0.11600  721.1    1265.2   0.09856  -0.07544 1564.6   299.3    0.78813  0.00000 
-0.05293 0.11700  721.1    1265.2   0.09936  -0.07614 1564.6   299.3    0.78921  0.00000 
-0.05354 0.11800  721.1    1265.2   0.10015  -0.07685 1564.6   299.3    0.79029  0.00000 
-0.05414 0.11900  721.1    1265.2   0.10095  -0.07755 1564.6   299.3    0.79137  0.00000 
-0.05474 0.12000  721.1    1265.2   0.10175  -0.07825 1564.6   299.3    0.79245  0.00000 
-0.05534 0.12100  721.1    1265.2   0.10255  -0.07895 1564.6   299.3    0.79353  0.00000 
-0.05595 0.12200  721.1    1265.2   0.10335  -0.07965 1564.6   299.3    0.79461  0.00000 
-0.05655 0.12300  721.1    1265.2   0.10415  -0.08035 1564.6   299.3    0.79569  0.00000 
-0.05715 0.12400  721.1    1265.2   0.10495  -0.08105 1564.6   299.3    0.79678  0.00000 
-0.05776 0.12500  721.1    1265.2   0.10575  -0.08175 1564.6   299.3    0.79786  0.00000 
-0.05836 0.12600  721.1    1265.2   0.10655  -0.08245 1564.6   299.3    0.79894  0.00000 
-0.05896 0.12700  721.1    1265.2   0.10735  -0.08315 1564.6   299.3    0.80003  0.00000 
