eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.05392  0.12200  596.3    888.9    0.13997  -0.04303 1188.9   300.0    0.65794  1145.09781
0.05398  0.12300  596.7    890.0    0.14099  -0.04351 1190.0   300.0    0.65785  1146.76416
0.05404  0.12400  597.0    891.1    0.14201  -0.04399 1191.1   300.0    0.65775  1148.39891
0.05409  0.12500  597.4    892.2    0.14303  -0.04447 1192.2   300.0    0.65766  1150.00265
0.05415  0.12600  597.8    893.3    0.14405  -0.04495 1193.3   300.0    0.65757  1151.57595
0.05420  0.12700  598.1    894.4    0.14507  -0.04543 1194.4   300.0    0.65749  1153.11937
0.05425  0.12800  598.5    895.4    0.14608  -0.04592 1195.4   300.0    0.65740  1154.63346
0.05430  0.12900  598.8    896.4    0.14710  -0.04640 1196.4   300.0    0.65732  1156.11876
0.05435  0.13000  599.1    897.4    0.14812  -0.04688 1197.4   300.0    0.65723  1157.57582
0.05440  0.13100  599.5    898.4    0.14913  -0.04737 1198.4   300.0    0.65715  1159.00515
0.05445  0.13200  599.8    899.3    0.15015  -0.04785 1199.3   300.0    0.65707  1160.40727
0.05449  0.13300  600.1    900.3    0.15116  -0.04834 1200.3   300.0    0.65700  1161.78269
0.05454  0.13400  600.4    901.2    0.15218  -0.04882 1201.2   300.0    0.65692  1163.13189
0.05458  0.13500  600.7    902.1    0.15319  -0.04931 1202.1   300.0    0.65685  1164.45538
0.05463  0.13600  601.0    903.0    0.15421  -0.04979 1203.0   300.0    0.65677  1165.75362
0.05467  0.13700  601.3    903.8    0.15522  -0.05028 1203.8   300.0    0.65670  1167.02710
0.05471  0.13800  601.6    904.7    0.15624  -0.05076 1204.7   300.0    0.65663  1168.27626
0.05475  0.13900  601.8    905.5    0.15725  -0.05125 1205.5   300.0    0.65656  1169.50158
0.05479  0.14000  602.1    906.3    0.15826  -0.05174 1206.3   300.0    0.65650  1170.70348
0.05483  0.14100  602.4    907.1    0.15928  -0.05222 1207.1   300.0    0.65643  1171.88242
0.05487  0.14200  602.6    907.9    0.16029  -0.05271 1207.9   300.0    0.65637  1173.03882
0.05491  0.14300  602.9    908.7    0.16130  -0.05320 1208.7   300.0    0.65630  1174.17310
0.05495  0.14400  603.2    909.5    0.16232  -0.05368 1209.5   300.0    0.65624  1175.28569
0.05499  0.14500  603.4    910.2    0.16333  -0.05417 1210.2   300.0    0.65618  1176.37698
0.05502  0.14600  603.6    910.9    0.16434  -0.05466 1210.9   300.0    0.65612  1177.44737
0.05506  0.14700  603.9    911.6    0.16535  -0.05515 1211.6   300.0    0.65606  1178.49727
0.05509  0.14800  604.1    912.3    0.16636  -0.05564 1212.3   300.0    0.65601  1179.52705
0.05512  0.14900  604.3    913.0    0.16737  -0.05613 1213.0   300.0    0.65595  1180.53710
0.05516  0.15000  604.6    913.7    0.16839  -0.05661 1213.7   300.0    0.65590  1181.52779
0.05519  0.15100  604.8    914.4    0.16940  -0.05710 1214.4   300.0    0.65584  1182.49947
0.05522  0.15200  605.0    915.0    0.17041  -0.05759 1215.0   300.0    0.65579  1183.45252
0.05525  0.15300  605.2    915.6    0.17142  -0.05808 1215.6   300.0    0.65574  1184.38728
0.05528  0.15400  605.4    916.3    0.17243  -0.05857 1216.3   300.0    0.65569  1185.30410
0.05531  0.15500  605.6    916.9    0.17344  -0.05906 1216.9   300.0    0.65564  1186.20331
0.05534  0.15600  605.8    917.5    0.17445  -0.05955 1217.5   300.0    0.65559  1187.08526
0.05537  0.15700  606.0    918.1    0.17546  -0.06004 1218.1   300.0    0.65554  1187.95026
0.05540  0.15800  606.2    918.6    0.17647  -0.06053 1218.6   300.0    0.65550  1188.79864
0.05543  0.15900  606.4    919.2    0.17748  -0.06102 1219.2   300.0    0.65545  1189.63072
0.05545  0.16000  606.6    919.7    0.17848  -0.06152 1219.7   300.0    0.65541  1190.44680
0.05548  0.16100  606.8    920.3    0.17949  -0.06201 1220.3   300.0    0.65536  1191.24718
0.05551  0.16200  606.9    920.8    0.18050  -0.06250 1220.8   300.0    0.65532  1192.03217
0.05553  0.16300  607.1    921.3    0.18151  -0.06299 1221.3   300.0    0.65528  1192.80205
0.05556  0.16400  607.3    921.9    0.18252  -0.06348 1221.9   300.0    0.65524  1193.55712
0.05558  0.16500  607.5    922.4    0.18353  -0.06397 1222.4   300.0    0.65520  1194.29765
0.05560  0.16600  607.6    922.8    0.18453  -0.06447 1222.8   300.0    0.65516  1195.02392
0.05563  0.16700  607.8    923.3    0.18554  -0.06496 1223.3   300.0    0.65512  1195.73621
0.05565  0.16800  607.9    923.8    0.18655  -0.06545 1223.8   300.0    0.65508  1196.43478
0.05567  0.16900  608.1    924.3    0.18756  -0.06594 1224.3   300.0    0.65504  1197.11988
0.05570  0.17000  608.2    924.7    0.18857  -0.06643 1224.7   300.0    0.65501  1197.79179
0.05572  0.17100  608.4    925.2    0.18957  -0.06693 1225.2   300.0    0.65497  1198.45074
0.05574  0.17200  608.5    925.6    0.19058  -0.06742 1225.6   300.0    0.65493  1199.09699
