eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.05562  0.17900  915.0    1395.0   0.19754  -0.07096 1845.0   450.0    0.66459  1806.94777
0.05564  0.18000  915.2    1395.6   0.19855  -0.07145 1845.6   450.0    0.66456  1807.76626
0.05565  0.18100  915.4    1396.1   0.19955  -0.07195 1846.1   450.0    0.66453  1808.56885
0.05567  0.18200  915.6    1396.7   0.20056  -0.07244 1846.7   450.0    0.66451  1809.35585
0.05569  0.18300  915.7    1397.2   0.20156  -0.07294 1847.2   450.0    0.66448  1810.12756
0.05570  0.18400  915.9    1397.7   0.20257  -0.07343 1847.7   450.0    0.66445  1810.88426
0.05572  0.18500  916.1    1398.2   0.20357  -0.07393 1848.2   450.0    0.66442  1811.62625
0.05574  0.18600  916.2    1398.7   0.20458  -0.07442 1848.7   450.0    0.66440  1812.35382
0.05575  0.18700  916.4    1399.2   0.20558  -0.07492 1849.2   450.0    0.66437  1813.06724
0.05577  0.18800  916.6    1399.7   0.20659  -0.07541 1849.7   450.0    0.66435  1813.76678
0.05578  0.18900  916.7    1400.1   0.20759  -0.07591 1850.1   450.0    0.66432  1814.45271
0.05580  0.19000  916.9    1400.6   0.20860  -0.07640 1850.6   450.0    0.66430  1815.12530
0.05581  0.19100  917.0    1401.0   0.20960  -0.07690 1851.0   450.0    0.66427  1815.78481
0.05582  0.19200  917.2    1401.5   0.21061  -0.07739 1851.5   450.0    0.66425  1816.43148
0.05584  0.19300  917.3    1401.9   0.21161  -0.07789 1851.9   450.0    0.66423  1817.06556
0.05585  0.19400  917.4    1402.3   0.21262  -0.07838 1852.3   450.0    0.66421  1817.68730
0.05586  0.19500  917.6    1402.7   0.21362  -0.07888 1852.7   450.0    0.66418  1818.29694
0.05588  0.19600  917.7    1403.1   0.21463  -0.07937 1853.1   450.0    0.66416  1818.89470
0.05589  0.19700  917.8    1403.5   0.21563  -0.07987 1853.5   450.0    0.66414  1819.48083
0.05590  0.19800  918.0    1403.9   0.21663  -0.08037 1853.9   450.0    0.66412  1820.05554
0.05591  0.19900  918.1    1404.3   0.21764  -0.08086 1854.3   450.0    0.66410  1820.61906
0.05593  0.20000  918.2    1404.7   0.21864  -0.08136 1854.7   450.0    0.66408  1821.17160
